transaction_id,value_date,posted_at,amount,currency,dr_cr,merchant_name,reference,narrative,channel,account_type,city,keyword_hit,category_id,category_display_name
TX1129315170,2023-06-16,2023-06-19,4229.87,INR,DR,Disney+ Hotstar,UPI54524633,UPI/UPI54524633 Disney+ Hotstar@paytm bookmyshow KOCHI,UPI,CURRENT,Kochi,bookmyshow,ENTERTAINMENT,Entertainment & Media
TX8610014329,2024-04-30,2024-05-01,35030.61,INR,DR,Apollo Hospitals,UPI15423258,UPI/UPI15423258 Apollo Hospitals@oksbi pharmacy KOCHI,UPI,CREDIT_CARD,Kochi,pharmacy,HEALTH,Health & Wellness
TX1183941834,2024-02-18,2024-02-20,1436.07,INR,DR,McDonald's,CARD897545,MASTERCARD MCDONALD'S MUMBAI REF CARD897545,CARD,CURRENT,Mumbai,dominos,DINING,Dining & Food Delivery
TX2621527644,2023-10-21,2023-10-21,28555.73,INR,DR,Apollo Hospitals,NB4425850,AXIS NETBANK Apollo Hospitals apollo NB4425850,NETBANKING,CURRENT,Bengaluru,apollo,HEALTH,Health & Wellness
TX8391423983,2024-03-24,2024-03-26,1748.14,INR,DR,Jio Platforms,NB2805311,YES NETBANK Jio Platforms fiber NB2805311,NETBANKING,CREDIT_CARD,Jaipur,fiber,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX7425671650,2023-06-18,2023-06-19,119595.03,INR,CR,Income Tax Department,SAL408623,SALARY CREDIT Income Tax Department SAL408623,SALARY,CREDIT_CARD,Chennai,cashback,INCOME,Income & Refunds
TX5342854383,2023-02-07,2023-02-10,5044.72,INR,DR,Amazon India,UPI92451290,UPI/UPI92451290 Amazon India@paytm checkout HYDERABAD,UPI,CREDIT_CARD,Hyderabad,checkout,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX7024081420,2023-11-22,2023-11-22,1436.84,INR,DR,Starbucks India,POS915721,POS DELHI STARBUCKS INDIA REF POS915721,POS,CREDIT_CARD,Delhi,biryani,DINING,Dining & Food Delivery
TX7130821779,2024-01-06,2024-01-06,105114.73,INR,CR,Income Tax Department,SAL775238,SALARY CREDIT Income Tax Department SAL775238,SALARY,SAVINGS,Delhi,reimbursement,INCOME,Income & Refunds
TX4038782736,2023-10-13,2023-10-16,149760.61,INR,CR,Income Tax Department,IMPS9580928,IMPS IMPS9580928 TO Income Tax Department DELHI,IMPS,SAVINGS,Delhi,payroll,INCOME,Income & Refunds
TX7499008887,2023-04-30,2023-05-01,1090.38,INR,DR,Ola Cabs,UPI36667356,UPI/UPI36667356 Ola Cabs@oksbi indrive BENGALURU,UPI,CURRENT,Bengaluru,indrive,MOBILITY,Mobility – Ride Hailing & Transit
TX1341078128,2024-02-14,2024-02-15,3633.01,INR,DR,BigBasket,UPI48332480,UPI/UPI48332480 BigBasket@ybl bazaar KOLKATA,UPI,CREDIT_CARD,Kolkata,bazaar,GROCERIES,Groceries & Daily Essentials
TX1310976739,2023-03-01,2023-03-02,4720.79,INR,DR,Flipkart,NB5327701,HDFC NETBANK Flipkart checkout NB5327701,NETBANKING,CREDIT_CARD,Mumbai,checkout,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX9191854182,2023-01-25,2023-01-26,22916.46,INR,DR,Croma,CARD195244,MASTERCARD CROMA KOLKATA REF CARD195244,CARD,CREDIT_CARD,Kolkata,oneplus,SHOPPING_ELECTRONICS,Shopping – Electronics & Appliances
TX5129281899,2024-03-13,2024-03-14,2114.14,INR,DR,DMart Ready,CARD965207,AMEX DMART READY AHMEDABAD REF CARD965207,CARD,CURRENT,Ahmedabad,7-eleven,GROCERIES,Groceries & Daily Essentials
TX9513699748,2023-07-13,2023-07-15,1045.77,INR,DR,Mahanagar Gas Limited,NB9578369,KOTAK NETBANK Mahanagar Gas Limited mahanagar gas NB9578369,NETBANKING,SAVINGS,Kochi,mahanagar gas,UTILITIES_WATER_GAS,Utilities – Water & Piped Gas
TX4341660276,2023-10-17,2023-10-20,8301.12,INR,DR,Adobe Creative Cloud,SUB521402,SUBSCRIPTION Adobe Creative Cloud saas SUB521402,SUBSCRIPTION,CURRENT,Pune,saas,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX7204659025,2023-01-22,2023-01-25,5097.26,INR,DR,Nykaa,NB4053677,HDFC NETBANK Nykaa checkout NB4053677,NETBANKING,CURRENT,Pune,checkout,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX7810354574,2023-08-29,2023-08-31,1438.76,INR,DR,Delhi Jal Board,AUTO355312,AUTOPAY Delhi Jal Board aadhaar gas REF AUTO355312,AUTOPAY,SAVINGS,Pune,aadhaar gas,UTILITIES_WATER_GAS,Utilities – Water & Piped Gas
TX7607460766,2023-01-23,2023-01-23,23271.84,INR,DR,MakeMyTrip,CARD221652,VISA MAKEMYTRIP PUNE REF CARD221652,CARD,SAVINGS,Pune,air india,TRAVEL,Travel – Flights & Rail
TX5840789897,2023-08-31,2023-09-02,1771.34,INR,DR,Adani Electricity Mumbai,NB3700608,YES NETBANK Adani Electricity Mumbai mgvcl NB3700608,NETBANKING,CURRENT,Kochi,mgvcl,UTILITIES_POWER,Utilities – Electricity
TX9504182912,2024-02-11,2024-02-14,7329.44,INR,DR,Microsoft 365,UPI14401179,UPI/UPI14401179 Microsoft 365@ybl zoom JAIPUR,UPI,CURRENT,Jaipur,zoom,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX1521592299,2023-07-27,2023-07-27,38620.75,INR,DR,MakeMyTrip,NB8792671,HDFC NETBANK MakeMyTrip irctc NB8792671,NETBANKING,SAVINGS,Kochi,irctc,TRAVEL,Travel – Flights & Rail
TX1686235096,2023-06-25,2023-06-28,8520.91,INR,DR,Google Workspace,SUB375366,SUBSCRIPTION Google Workspace slack SUB375366,SUBSCRIPTION,CURRENT,Ahmedabad,slack,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX8245108718,2023-07-19,2023-07-19,46083.62,INR,DR,Zerodha,NB6735149,HDFC NETBANK Zerodha demat NB6735149,NETBANKING,CURRENT,Ahmedabad,demat,FINANCIAL_SERVICES,Financial Services & Charges
TX3427885970,2024-04-02,2024-04-05,1876.58,INR,DR,BSES Rajdhani Power,AUTO559145,AUTOPAY BSES Rajdhani Power dgvcl REF AUTO559145,AUTOPAY,CREDIT_CARD,Bengaluru,dgvcl,UTILITIES_POWER,Utilities – Electricity
TX6655507425,2023-08-27,2023-08-27,45024.76,INR,DR,Coursera,NB1779422,SBI NETBANK Coursera vedantu NB1779422,NETBANKING,CURRENT,Chennai,vedantu,EDUCATION,Education & Learning
TX2972192531,2023-06-13,2023-06-14,10772.28,INR,DR,Ketto,NB1841763,ICICI NETBANK Ketto milaap NB1841763,NETBANKING,SAVINGS,Kochi,milaap,CHARITY,Charity & Donations
TX3081733855,2023-04-07,2023-04-09,4656.98,INR,DR,Microsoft 365,SUB686266,SUBSCRIPTION Microsoft 365 slack SUB686266,SUBSCRIPTION,CREDIT_CARD,Kolkata,slack,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX6977238276,2023-09-20,2023-09-22,531.06,INR,DR,Ola Cabs,CARD722293,VISA OLA CABS JAIPUR REF CARD722293,CARD,SAVINGS,Jaipur,transit,MOBILITY,Mobility – Ride Hailing & Transit
TX9613074145,2023-06-29,2023-06-30,3204.36,INR,DR,Bharat Petroleum,POS993731,POS BENGALURU BHARAT PETROLEUM REF POS993731,POS,CREDIT_CARD,Bengaluru,hindustan petroleum,FUEL,Fuel & Gas Stations
TX4227693340,2023-07-07,2023-07-08,14098.95,INR,DR,Ketto,NB6439687,HDFC NETBANK Ketto crowdfunding NB6439687,NETBANKING,SAVINGS,Bengaluru,crowdfunding,CHARITY,Charity & Donations
TX8746423205,2023-03-04,2023-03-05,2275.97,INR,DR,Vodafone Idea,UPI10601908,UPI/UPI10601908 Vodafone Idea@ibl data pack BENGALURU,UPI,CREDIT_CARD,Bengaluru,data pack,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX3232018848,2024-01-19,2024-01-21,13980.33,INR,DR,GiveIndia,NB6480872,HDFC NETBANK GiveIndia crowdfunding NB6480872,NETBANKING,CREDIT_CARD,Kochi,crowdfunding,CHARITY,Charity & Donations
TX7515757831,2024-04-22,2024-04-25,2863.79,INR,DR,Indian Oil Corporation,CARD415632,MASTERCARD INDIAN OIL CORPORATION KOCHI REF CARD415632,CARD,CURRENT,Kochi,bpcl,FUEL,Fuel & Gas Stations
TX1883218754,2024-02-19,2024-02-21,1437.51,INR,DR,Card Network,NB8931911,HDFC NETBANK Card Network convenience fee NB8931911,NETBANKING,SAVINGS,Ahmedabad,convenience fee,FEES,Fees & Adjustments
TX3916694519,2023-08-16,2023-08-18,9745.36,INR,DR,Google Workspace,UPI41170375,UPI/UPI41170375 Google Workspace@okhdfcbank digital ocean CHENNAI,UPI,CREDIT_CARD,Chennai,digital ocean,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX5693010097,2024-04-15,2024-04-15,2497.68,INR,DR,Tata Power Delhi Distribution,NB5272657,AXIS NETBANK Tata Power Delhi Distribution power bill NB5272657,NETBANKING,CREDIT_CARD,Pune,power bill,UTILITIES_POWER,Utilities – Electricity
TX4163701123,2023-02-16,2023-02-19,1514.11,INR,DR,Zomato,CARD552339,MASTERCARD ZOMATO HYDERABAD REF CARD552339,CARD,SAVINGS,Hyderabad,takeaway,DINING,Dining & Food Delivery
TX2642166888,2024-01-31,2024-02-01,880.29,INR,DR,Airtel Payments,AUTO818790,AUTOPAY Airtel Payments prepaid REF AUTO818790,AUTOPAY,SAVINGS,Hyderabad,prepaid,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX1918882306,2024-01-05,2024-01-08,1241.06,INR,DR,Uber India,CARD931366,AMEX UBER INDIA CHENNAI REF CARD931366,CARD,SAVINGS,Chennai,rapido,MOBILITY,Mobility – Ride Hailing & Transit
TX1167496427,2023-08-12,2023-08-13,1206.28,INR,DR,FASTag Issuer,NB8905982,ICICI NETBANK FASTag Issuer service charge NB8905982,NETBANKING,CURRENT,Pune,service charge,FEES,Fees & Adjustments
TX4606828358,2023-07-09,2023-07-09,3991.46,INR,DR,Bharat Petroleum,CARD346391,RUPAY BHARAT PETROLEUM KOCHI REF CARD346391,CARD,CREDIT_CARD,Kochi,hindustan petroleum,FUEL,Fuel & Gas Stations
