,ALCOHOL_BARS,CHARITY,DEBT_COLLECTION_AGENCY,DEBT_CREDIT_CARD_BILL,DEBT_LOAN_BNPL,DEBT_LOAN_EDUCATION,DEBT_LOAN_HOME,DEBT_LOAN_PERSONAL,DEBT_LOAN_VEHICLE,DIGITAL_GOODS_GAMING,DINING,EDUCATION,ENTERTAINMENT,FEES,FUEL,GIFTS_OCCASIONS,GOVT_FEES_PENALTIES,GOVT_TAXES_DIRECT,GOVT_TAXES_INDIRECT,GROCERIES,HEALTH,HOBBIES_SPORTS,HOME_IMPROVEMENT,HOME_SERVICES,HOUSING_MAINTENANCE,HOUSING_RENT,INCOME_BUSINESS_SELF_EMPLOYED,INCOME_GOVT_BENEFIT,INCOME_INVESTMENT,INCOME_REFUNDS,INCOME_SALARY,INSURANCE_PREMIUM_HEALTH,INSURANCE_PREMIUM_LIFE,INSURANCE_PREMIUM_MOTOR,INVEST_GOLD_SILVER,INVEST_MF_SIP,INVEST_RETIREMENT,INVEST_STOCK_BROKERAGE,KIDS_BABY,MOBILITY,PERSONAL_CARE_BEAUTY,PETS,SHOPPING_ECOM,SHOPPING_ELECTRONICS,SUBSCRIPTIONS,TRANSFER_CASH_WITHDRAWAL,TRANSFER_FOREX,TRANSFER_P2P_FAMILY_FRIENDS,TRANSFER_SELF_INTERNAL,TRAVEL,UTILITIES_POWER,UTILITIES_TELECOM,UTILITIES_WATER_GAS
ALCOHOL_BARS,591,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CHARITY,0,556,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DEBT_COLLECTION_AGENCY,0,0,1684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DEBT_CREDIT_CARD_BILL,0,0,0,1410,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DEBT_LOAN_BNPL,0,0,0,0,1698,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DEBT_LOAN_EDUCATION,0,0,0,0,2,1687,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DEBT_LOAN_HOME,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEBT_LOAN_PERSONAL,0,0,0,0,0,0,0,849,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DEBT_LOAN_VEHICLE,0,0,0,0,0,0,0,0,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
DIGITAL_GOODS_GAMING,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
DINING,0,0,0,0,0,0,0,0,0,0,7381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
EDUCATION,0,0,0,1,0,0,1,0,0,0,0,1709,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
